Producto,Categoria,Anterior,Ultimo,Dif,Medida,Fecha ,Fecha Consulta
Cereales,Centeno,"169,00 / 0,00","169,00 / 0,00","0,00",Eur / Tm.,19-02-2018,19/02/2018

Cereales,Triticale,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,19-02-2018,19/02/2018

Cereales,MaÃ­z,"172,00 / 0,00","172,00 / 0,00","0,00",Eur / Tm.,19-02-2018,19/02/2018

Cereales,Trigo Blando p.e. > 72 kg/Hl,"185,00 / 0,00","185,00 / 0,00","0,00",Eur / Tm.,26-02-2018,26/02/2018

Cereales,Cebada,"183,00 / 0,00","182,00 / 0,00","-1,00",Eur / Tm.,26-02-2018,26/02/2018

Cereales,Avena,"162,00 / 0,00","162,00 / 0,00","0,00",Eur / Tm.,26-02-2018,26/02/2018

Cereales,Centeno,"169,00 / 0,00","169,00 / 0,00","0,00",Eur / Tm.,26-02-2018,26/02/2018

Cereales,Triticale,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,26-02-2018,26/02/2018

Cereales,MaÃ­z,"172,00 / 0,00","172,00 / 0,00","0,00",Eur / Tm.,26-02-2018,26/02/2018

Cereales,Trigo Blando p.e. > 72 kg/Hl,"185,00 / 0,00","185,00 / 0,00","0,00",Eur / Tm.,05-03-2018,05/03/2018

Cereales,Cebada,"182,00 / 0,00","182,00 / 0,00","0,00",Eur / Tm.,05-03-2018,05/03/2018

Cereales,Avena,"162,00 / 0,00","162,00 / 0,00","0,00",Eur / Tm.,05-03-2018,05/03/2018

Cereales,Centeno,"169,00 / 0,00","169,00 / 0,00","0,00",Eur / Tm.,05-03-2018,05/03/2018

Cereales,Triticale,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,05-03-2018,05/03/2018

Cereales,MaÃ­z,"172,00 / 0,00","172,00 / 0,00","0,00",Eur / Tm.,05-03-2018,05/03/2018

Cereales,Trigo Blando p.e. > 72 kg/Hl,"185,00 / 0,00","186,00 / 0,00","1,00",Eur / Tm.,12-03-2018,12/03/2018

Cereales,Cebada,"182,00 / 0,00","182,00 / 0,00","0,00",Eur / Tm.,12-03-2018,12/03/2018

Cereales,Avena,"162,00 / 0,00","162,00 / 0,00","0,00",Eur / Tm.,12-03-2018,12/03/2018

Cereales,Centeno,"169,00 / 0,00","169,00 / 0,00","0,00",Eur / Tm.,12-03-2018,12/03/2018

Cereales,Triticale,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,12-03-2018,12/03/2018

Cereales,MaÃ­z,"172,00 / 0,00","174,00 / 0,00","2,00",Eur / Tm.,12-03-2018,12/03/2018

Cereales,Trigo Blando p.e. > 72 kg/Hl,"186,00 / 0,00","186,00 / 0,00","0,00",Eur / Tm.,19-03-2018,19/03/2018

Cereales,Cebada,"182,00 / 0,00","182,00 / 0,00","0,00",Eur / Tm.,19-03-2018,19/03/2018

Cereales,Avena,"162,00 / 0,00","162,00 / 0,00","0,00",Eur / Tm.,19-03-2018,19/03/2018

Cereales,Centeno,"169,00 / 0,00","169,00 / 0,00","0,00",Eur / Tm.,19-03-2018,19/03/2018

Cereales,Triticale,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,19-03-2018,19/03/2018

Cereales,MaÃ­z,"174,00 / 0,00","175,00 / 0,00","1,00",Eur / Tm.,19-03-2018,19/03/2018
